MTU,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,356,n/e,n/e,n/e,2823,525,226,n/e,n/e,n/e,92,,5295,1835,n/e,44667,n/e,n/e,3218,184,703,5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,358,n/e,n/e,n/e,3957,464,226,n/e,n/e,n/e,1059,,5828,2661,n/e,44699,n/e,n/e,872,188,598,4794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,359,n/e,n/e,n/e,5029,433,226,n/e,n/e,n/e,3226,,6340,3858,n/e,44698,n/e,n/e,0,187,613,5038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,358,n/e,n/e,n/e,5050,448,226,n/e,n/e,n/e,3760,,6500,3370,n/e,44750,n/e,n/e,0,192,593,5895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,358,n/e,n/e,n/e,5041,432,226,n/e,n/e,n/e,2826,,6382,3541,n/e,44779,n/e,n/e,0,197,565,6558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,359,n/e,n/e,n/e,4977,300,226,n/e,n/e,n/e,1415,,5898,1897,n/e,44728,n/e,n/e,0,200,519,6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,358,n/e,n/e,n/e,4430,293,226,n/e,n/e,n/e,851,,5602,1683,n/e,44628,n/e,n/e,0,200,561,6883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,356,n/e,n/e,n/e,3987,293,225,n/e,n/e,n/e,390,,5409,2200,n/e,44612,n/e,n/e,0,201,668,7195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,356,n/e,n/e,n/e,3334,293,226,n/e,n/e,n/e,273,,5056,1890,n/e,44648,n/e,n/e,0,203,796,7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,356,n/e,n/e,n/e,2747,306,225,n/e,n/e,n/e,,359,4882,2189,n/e,44727,n/e,n/e,0,203,805,6989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,356,n/e,n/e,n/e,2740,316,225,n/e,n/e,n/e,,1108,4816,2316,n/e,44462,n/e,n/e,0,203,723,7009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,356,n/e,n/e,n/e,2734,293,226,n/e,n/e,n/e,,2128,4795,1932,n/e,44082,n/e,n/e,0,202,657,7070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,356,n/e,n/e,n/e,2807,292,226,n/e,n/e,n/e,,2816,4766,1747,n/e,44127,n/e,n/e,0,196,621,6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,362,n/e,n/e,n/e,2804,292,226,n/e,n/e,n/e,,1949,4797,1806,n/e,44385,n/e,n/e,0,185,679,6804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00 - 08:00,362,n/e,n/e,n/e,2841,292,226,n/e,n/e,n/e,251,,5053,2534,n/e,44834,n/e,n/e,227,190,645,6886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:00 - 09:00,362,n/e,n/e,n/e,2934,369,226,n/e,n/e,n/e,1539,,5603,2980,n/e,44870,n/e,n/e,270,195,625,7080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:00,362,n/e,n/e,n/e,2929,427,226,n/e,n/e,n/e,2359,,5949,3063,n/e,44946,n/e,n/e,821,196,659,7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:00,360,n/e,n/e,n/e,2920,448,226,n/e,n/e,n/e,1885,,5591,2990,n/e,45042,n/e,n/e,2309,195,733,6974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:00,361,n/e,n/e,n/e,2911,445,226,n/e,n/e,n/e,1029,,5327,3036,n/e,44973,n/e,n/e,4070,185,500,6143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:00,360,n/e,n/e,n/e,2868,457,226,n/e,n/e,n/e,207,,4974,2841,n/e,44840,n/e,n/e,4914,183,552,5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:00,358,n/e,n/e,n/e,2663,469,226,n/e,n/e,n/e,,65,4802,2081,n/e,44616,n/e,n/e,5569,183,551,5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,358,n/e,n/e,n/e,2729,486,226,n/e,n/e,n/e,,1300,4708,2027,n/e,44886,n/e,n/e,5355,182,623,5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,358,n/e,n/e,n/e,2797,497,226,n/e,n/e,n/e,,1764,4798,1762,n/e,45083,n/e,n/e,4663,184,593,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,358,n/e,n/e,n/e,2792,490,226,n/e,n/e,n/e,,1943,4870,1644,n/e,45052,n/e,n/e,3580,186,562,5808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,356,n/e,n/e,n/e,2585,486,226,n/e,n/e,n/e,,1881,5044,1501,n/e,44583,n/e,n/e,1954,183,520,6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,356,n/e,n/e,n/e,2806,471,226,n/e,n/e,n/e,,425,5291,1840,n/e,44699,n/e,n/e,631,180,546,7493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,354,n/e,n/e,n/e,2833,362,226,n/e,n/e,n/e,1654,,5791,2759,n/e,44775,n/e,n/e,0,180,563,8622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,354,n/e,n/e,n/e,2579,120,226,n/e,n/e,n/e,2393,,6088,2961,n/e,45324,n/e,n/e,0,175,572,9265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,355,n/e,n/e,n/e,2558,0,226,n/e,n/e,n/e,1697,,5744,2652,n/e,45383,n/e,n/e,0,171,593,9392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,355,n/e,n/e,n/e,2701,0,223,n/e,n/e,n/e,810,,5307,2007,n/e,45129,n/e,n/e,0,187,608,9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,355,n/e,n/e,n/e,2701,0,222,n/e,n/e,n/e,576,,5098,2067,n/e,45168,n/e,n/e,0,191,584,9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,356,n/e,n/e,n/e,2646,0,222,n/e,n/e,n/e,270,,5031,1806,n/e,45037,n/e,n/e,0,194,492,9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,354,n/e,n/e,n/e,2654,0,224,n/e,n/e,n/e,,622,4921,1666,n/e,45000,n/e,n/e,0,198,529,9296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,357,n/e,n/e,n/e,2604,0,225,n/e,n/e,n/e,,1160,4652,1656,n/e,43767,n/e,n/e,0,196,570,9312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,357,n/e,n/e,n/e,2653,0,226,n/e,n/e,n/e,,1888,4653,1471,n/e,43408,n/e,n/e,0,197,823,9233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,357,n/e,n/e,n/e,2553,0,226,n/e,n/e,n/e,,2228,4692,1378,n/e,43952,n/e,n/e,0,198,848,8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,358,n/e,n/e,n/e,2708,0,226,n/e,n/e,n/e,,3248,4644,1063,n/e,43897,n/e,n/e,0,200,804,8104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,358,n/e,n/e,n/e,2764,0,226,n/e,n/e,n/e,,2865,4711,1049,n/e,44735,n/e,n/e,0,195,759,7921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00 - 08:00,363,n/e,n/e,n/e,2755,0,226,n/e,n/e,n/e,,958,5020,1575,n/e,45292,n/e,n/e,228,190,702,7377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:00 - 09:00,363,n/e,n/e,n/e,2934,0,226,n/e,n/e,n/e,198,,5486,2707,n/e,44840,n/e,n/e,265,185,755,7568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:00,359,n/e,n/e,n/e,2932,0,226,n/e,n/e,n/e,600,,5488,3323,n/e,44277,n/e,n/e,685,189,634,7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:00,360,n/e,n/e,n/e,2794,0,226,n/e,n/e,n/e,1224,,5626,3759,n/e,44166,n/e,n/e,1724,186,463,6589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:00,356,n/e,n/e,n/e,2776,0,226,n/e,n/e,n/e,942,,5347,2973,n/e,44131,n/e,n/e,2869,188,375,6386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:00,363,n/e,n/e,n/e,2729,0,226,n/e,n/e,n/e,724,,5346,2503,n/e,44116,n/e,n/e,3902,188,415,6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:00,357,n/e,n/e,n/e,2729,0,226,n/e,n/e,n/e,920,,5189,2224,n/e,44197,n/e,n/e,4601,189,296,5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,356,n/e,n/e,n/e,2808,0,226,n/e,n/e,n/e,523,,5078,1966,n/e,44234,n/e,n/e,4668,192,323,5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,353,n/e,n/e,n/e,2632,0,226,n/e,n/e,n/e,561,,5032,2050,n/e,44164,n/e,n/e,4051,194,297,5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,356,n/e,n/e,n/e,2778,0,226,n/e,n/e,n/e,869,,5174,2304,n/e,44246,n/e,n/e,3057,194,335,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,359,n/e,n/e,n/e,3034,0,226,n/e,n/e,n/e,1214,,5611,2912,n/e,44274,n/e,n/e,1711,194,322,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,356,n/e,n/e,n/e,3609,0,226,n/e,n/e,n/e,1501,,5966,2997,n/e,44312,n/e,n/e,643,194,293,4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,356,n/e,n/e,n/e,3714,0,226,n/e,n/e,n/e,3012,,6174,3673,n/e,44384,n/e,n/e,0,193,265,4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,358,n/e,n/e,n/e,3803,0,226,n/e,n/e,n/e,3534,,6421,3772,n/e,44183,n/e,n/e,0,194,224,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,358,n/e,n/e,n/e,3796,0,226,n/e,n/e,n/e,2736,,6184,3482,n/e,43461,n/e,n/e,0,192,184,4846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,358,n/e,n/e,n/e,3585,0,226,n/e,n/e,n/e,2285,,5986,2652,n/e,43524,n/e,n/e,0,194,113,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,358,n/e,n/e,n/e,3658,0,226,n/e,n/e,n/e,1826,,5638,2966,n/e,43511,n/e,n/e,0,202,105,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,354,n/e,n/e,n/e,3800,0,221,n/e,n/e,n/e,1866,,5579,3269,n/e,43455,n/e,n/e,0,212,124,3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,352,n/e,n/e,n/e,2920,0,216,n/e,n/e,n/e,611,,5371,2807,n/e,43591,n/e,n/e,0,213,155,3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,354,n/e,n/e,n/e,2699,0,216,n/e,n/e,n/e,170,,5185,2092,n/e,43817,n/e,n/e,0,215,223,3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,355,n/e,n/e,n/e,2698,0,215,n/e,n/e,n/e,9,,5089,1932,n/e,43977,n/e,n/e,0,213,138,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,355,n/e,n/e,n/e,2720,0,214,n/e,n/e,n/e,,214,5086,1755,n/e,44486,n/e,n/e,0,215,56,2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,356,n/e,n/e,n/e,2704,0,214,n/e,n/e,n/e,,722,5055,1379,n/e,44540,n/e,n/e,0,215,58,2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,355,n/e,n/e,n/e,2691,0,215,n/e,n/e,n/e,,801,5074,1348,n/e,44497,n/e,n/e,0,214,60,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00 - 08:00,355,n/e,n/e,n/e,2753,0,215,n/e,n/e,n/e,,204,5260,1423,n/e,44406,n/e,n/e,220,214,59,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:00 - 09:00,356,n/e,n/e,n/e,2792,0,214,n/e,n/e,n/e,56,,5315,1681,n/e,44288,n/e,n/e,276,215,76,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:00,354,n/e,n/e,n/e,2809,0,213,n/e,n/e,n/e,539,,5389,2214,n/e,44295,n/e,n/e,1065,213,79,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:00,356,n/e,n/e,n/e,2712,0,212,n/e,n/e,n/e,1310,,5408,2176,n/e,44396,n/e,n/e,3495,213,111,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:00,354,n/e,n/e,n/e,2662,0,212,n/e,n/e,n/e,701,,5256,2017,n/e,44407,n/e,n/e,6200,210,178,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:00,353,n/e,n/e,n/e,2734,0,212,n/e,n/e,n/e,354,,5093,1526,n/e,43945,n/e,n/e,7947,211,195,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:00,356,n/e,n/e,n/e,2734,0,212,n/e,n/e,n/e,,8,4934,1309,n/e,43505,n/e,n/e,8503,210,217,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,356,n/e,n/e,n/e,2582,0,214,n/e,n/e,n/e,,761,4715,1226,n/e,43119,n/e,n/e,8551,212,214,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,355,n/e,n/e,n/e,2609,0,214,n/e,n/e,n/e,,1319,4671,1321,n/e,43604,n/e,n/e,7810,211,216,2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,355,n/e,n/e,n/e,2704,0,215,n/e,n/e,n/e,,1411,4662,1482,n/e,43108,n/e,n/e,6186,211,214,2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,354,n/e,n/e,n/e,2681,0,216,n/e,n/e,n/e,,895,4723,1606,n/e,42745,n/e,n/e,3622,213,212,2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,350,n/e,n/e,n/e,2805,0,216,n/e,n/e,n/e,382,,5162,2095,n/e,43562,n/e,n/e,1180,213,226,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,353,n/e,n/e,n/e,3009,0,216,n/e,n/e,n/e,2425,,5831,3144,n/e,44453,n/e,n/e,0,214,266,2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,354,n/e,n/e,n/e,3426,0,216,n/e,n/e,n/e,3726,,6354,3875,n/e,44724,n/e,n/e,0,215,306,2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,354,n/e,n/e,n/e,3325,0,216,n/e,n/e,n/e,2765,,6101,3344,n/e,44761,n/e,n/e,0,215,401,3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,357,n/e,n/e,n/e,3212,0,216,n/e,n/e,n/e,1520,,5759,2616,n/e,44686,n/e,n/e,0,215,513,3731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,356,n/e,n/e,n/e,3253,0,216,n/e,n/e,n/e,1417,,5626,2409,n/e,44614,n/e,n/e,0,215,576,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,355,n/e,n/e,n/e,3047,0,216,n/e,n/e,n/e,751,,5470,2177,n/e,44643,n/e,n/e,0,215,628,4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,353,n/e,n/e,n/e,2370,0,216,n/e,n/e,n/e,331,,5136,2527,n/e,44038,n/e,n/e,0,217,658,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,351,n/e,n/e,n/e,2361,0,216,n/e,n/e,n/e,358,,4941,2176,n/e,43347,n/e,n/e,0,219,657,5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,351,n/e,n/e,n/e,2346,0,216,n/e,n/e,n/e,,197,4661,2185,n/e,43477,n/e,n/e,0,219,676,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,358,n/e,n/e,n/e,2348,0,216,n/e,n/e,n/e,,1238,4566,1681,n/e,43029,n/e,n/e,0,218,727,5439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,360,n/e,n/e,n/e,2357,0,216,n/e,n/e,n/e,,2084,4438,1612,n/e,43104,n/e,n/e,0,217,729,5848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,357,n/e,n/e,n/e,2343,0,216,n/e,n/e,n/e,,2148,4453,1479,n/e,42963,n/e,n/e,0,217,752,6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
