MTU,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,342,n/e,n/e,n/e,1898,16,191,n/e,n/e,n/e,,2051,4882,930,n/e,36874,n/e,n/e,4926,93,550,9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,342,n/e,n/e,n/e,1867,16,191,n/e,n/e,n/e,,712,5009,1169,n/e,37189,n/e,n/e,4188,92,551,8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,343,n/e,n/e,n/e,1870,16,191,n/e,n/e,n/e,36,,5224,1731,n/e,38429,n/e,n/e,2703,93,571,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,343,n/e,n/e,n/e,1870,16,191,n/e,n/e,n/e,1176,,5346,2611,n/e,41068,n/e,n/e,971,95,574,8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,343,n/e,n/e,n/e,1884,16,190,n/e,n/e,n/e,2073,,5458,2559,n/e,43655,n/e,n/e,257,96,569,9316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,343,n/e,n/e,n/e,1888,15,191,n/e,n/e,n/e,2597,,5719,2581,n/e,44280,n/e,n/e,0,96,570,11235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,342,n/e,n/e,n/e,1884,16,191,n/e,n/e,n/e,2710,,5724,2314,n/e,44019,n/e,n/e,0,94,568,12970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,342,n/e,n/e,n/e,1910,16,190,n/e,n/e,n/e,2222,,5452,2008,n/e,43293,n/e,n/e,0,98,568,14329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,342,n/e,n/e,n/e,1900,16,190,n/e,n/e,n/e,811,,5243,1627,n/e,42694,n/e,n/e,0,97,566,15231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,343,n/e,n/e,n/e,1885,15,190,n/e,n/e,n/e,892,,5217,1692,n/e,42717,n/e,n/e,0,93,565,15469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,341,n/e,n/e,n/e,1916,15,190,n/e,n/e,n/e,,107,5169,1550,n/e,41802,n/e,n/e,0,89,568,15712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,342,n/e,n/e,n/e,1999,15,190,n/e,n/e,n/e,,1559,4990,1671,n/e,41061,n/e,n/e,0,92,568,15931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,343,n/e,n/e,n/e,1964,15,191,n/e,n/e,n/e,,2928,5008,1723,n/e,41321,n/e,n/e,0,91,568,16148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,343,n/e,n/e,n/e,1977,15,190,n/e,n/e,n/e,,3023,4923,988,n/e,39933,n/e,n/e,0,94,568,16062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,342,n/e,n/e,n/e,1986,16,190,n/e,n/e,n/e,,2958,4874,1032,n/e,37751,n/e,n/e,0,96,565,15999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,343,n/e,n/e,n/e,1995,16,191,n/e,n/e,n/e,,2846,4820,938,n/e,37508,n/e,n/e,0,96,568,15937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,343,n/e,n/e,n/e,2004,16,191,n/e,n/e,n/e,,2444,4791,1114,n/e,38121,n/e,n/e,0,96,568,15869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00 - 08:00,342,n/e,n/e,n/e,2012,15,191,n/e,n/e,n/e,,1802,4940,1576,n/e,42400,n/e,n/e,0,93,568,15714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:00 - 09:00,342,n/e,n/e,n/e,2025,15,191,n/e,n/e,n/e,,801,5289,2027,n/e,44249,n/e,n/e,232,93,564,15713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
